state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL
AK,2020-04-25,477.2467222884386,453.9903551227809,500.5030894540963,0.32066508313539194,0.28468137816647215,0.3566487881043117
AK,2020-04-26,574.4636471990465,550.2059857298769,598.721308668216,0.3859857482185273,0.34845277811511843,0.4235187183219362
AK,2020-04-27,696.0412060301508,674.1551226698882,717.9272893904133,0.455609756097561,0.4120738645672507,0.4991456476278713
AK,2020-04-28,734.7929648241206,712.8360263429722,756.749903305269,0.48097560975609754,0.4372987729133494,0.5246524465988457
AK,2020-04-29,691.5698492462311,669.6956113922048,713.4440871002575,0.4526829268292683,0.40917059843111503,0.4961952552274216
AK,2020-04-30,521.3432989690722,499.97604147978245,542.7105564583619,0.341,0.30059797316839953,0.3814020268316005
AK,2020-05-01,709.1329365079365,687.5139740047746,730.7518990110984,0.464354527938343,0.420156344786153,0.5085527110905329
AK,2020-05-02,720.6803455723542,697.2092996443769,744.1513915003316,0.4702194357366771,0.42944609495692326,0.510992776516431
AK,2020-05-03,537.547974413646,515.3529413653802,559.7430074619119,0.3508771929824561,0.3114552200807161,0.39029916588419616
AK,2020-05-04,562.0099206349207,541.1045662284486,582.9152750413928,0.36801541425818884,0.3252761439169986,0.4107546845993791
AK,2020-05-05,549.3768736616703,527.1849506888536,571.568796634487,0.3696581196581197,0.3293220461900216,0.40999419312621777
AK,2020-05-06,648.8125,627.3845613807998,670.2404386192002,0.42485549132947975,0.3810478407298373,0.46866314192912223
AK,2020-05-07,672.3521825396825,650.8332809427927,693.8710841365724,0.44026974951830444,0.3962761326241456,0.48426336641246326
AK,2020-05-08,656.1686507936508,634.7100096980284,677.6272918892732,0.4296724470134875,0.3858020277367663,0.4735428662902087
AK,2020-05-09,861.942541436464,838.1176570009277,885.7674258720003,0.5601703940362087,0.5204433774902985,0.599897410582119
AK,2020-05-10,861.942541436464,838.1176570009277,885.7674258720003,0.5601703940362087,0.5204433774902985,0.599897410582119
AK,2020-05-11,869.4970238095239,848.0324912388423,890.9615563802053,0.569364161849711,0.5254816979388564,0.6132466257605655
AK,2020-05-12,828.8286937901499,805.9955188990986,851.6618686812012,0.5576923076923077,0.5161906937472912,0.5991939216373242
AK,2020-05-13,904.8065476190477,883.5064460222317,926.1066492158636,0.5924855491329479,0.548939250766473,0.6360318474994229
AK,2020-05-14,909.2202380952381,887.9440992355103,930.496376954966,0.5953757225433526,0.5518784140135774,0.6388730310731278
AK,2020-05-15,812.9507494646682,790.0658615396969,835.8356373896395,0.5470085470085471,0.5054129393732133,0.5886041546438808
AK,2020-05-16,876.5239064089521,854.5205197005054,898.527293117399,0.5735439289239882,0.530840416319046,0.6162474415289304
AK,2020-05-17,815.7315731573158,792.3390644091094,839.1240819055223,0.5488474204171241,0.5081833906682176,0.5895114501660306
AK,2020-05-18,794.0280065897858,764.3207162859001,823.7352968936716,0.5102040816326531,0.4778887815773521,0.5425193816879541
AK,2020-05-19,879.5387149917627,850.0785484486371,908.9988815348884,0.565149136577708,0.5331026553341555,0.5971956178212606
AK,2020-05-20,948.411509229099,926.0590946267291,970.7639238314687,0.638136511375948,0.598449713627652,0.6778233091242439
AK,2020-05-21,946.7366071428571,923.8758945735617,969.5973197121527,0.6369710467706013,0.5981127880960363,0.6758293054451664
AK,2020-05-22,1003.0743718592964,982.2068261660552,1023.9419175525379,0.6565853658536586,0.6150755538489101,0.698095177858407
AK,2020-05-23,919.4277958740502,896.8343252196812,942.021266528419,0.6186348862405201,0.5785200925485252,0.658749679932515
AK,2020-05-24,941.9658291457287,920.5986434859767,963.3330148054806,0.6165853658536585,0.5740816678699455,0.6590890638373715
AK,2020-05-25,875.9522258414768,853.0692438736858,898.8352078092678,0.5893824485373781,0.548753626399418,0.6300112706753381
AK,2020-05-26,950.9085427135678,929.6046811576072,972.2124042695285,0.6224390243902439,0.5800612909872433,0.6648167577932445
AK,2020-05-27,1003.0743718592964,982.2068261660552,1023.9419175525379,0.6565853658536586,0.6150755538489101,0.698095177858407
AK,2020-05-28,1010.5266331658293,989.731002598796,1031.3222637328624,0.6614634146341464,0.6200966565090004,0.7028301727592924
AK,2020-05-29,998.6030150753769,977.6934939236749,1019.512536227079,0.6536585365853659,0.6120652268173858,0.6952518463533459
AK,2020-05-30,946.4371859296482,925.101251133817,967.7731207254794,0.6195121951219512,0.5770706614916992,0.6619537287522033
AK,2020-05-31,925.5708542713568,904.0960609912793,947.0456475514343,0.6058536585365853,0.5631359070098418,0.6485714100633289
AK,2020-06-01,871.9145728643216,850.1626937714909,893.6664519571523,0.5707317073170731,0.5274627754950688,0.6140006391390774
AK,2020-06-02,991.1507537688442,970.1732125879918,1012.1282949496967,0.6487804878048781,0.6070518723011831,0.6905091033085731
AK,2020-06-03,991.1507537688442,970.1732125879918,1012.1282949496967,0.6487804878048781,0.6070518723011831,0.6905091033085731
AK,2020-06-04,946.8013029315962,924.4344629815835,969.168142881609,0.6370530877573131,0.5973406777490201,0.676765497765606
AK,2020-06-05,953.889447236181,932.4371995875711,975.3416948847907,0.6183574879227053,0.5760968828495153,0.6606180929958952
AK,2020-06-06,885.6134636264931,862.6078233945515,908.6191038584346,0.5894962486602358,0.549087444829143,0.6299050524913286
AK,2020-06-07,937.4944723618091,915.933288322006,959.0556564016122,0.6077294685990338,0.5652542604743721,0.6502046767236954
AK,2020-06-08,898.4951140065148,875.5660500600826,921.424177952947,0.5980707395498392,0.5577964399563189,0.6383450391433596
AK,2020-06-09,982.2080402010051,960.9696841704645,1003.4463962315458,0.6367149758454106,0.5948757340413637,0.6785542176494574
AK,2020-06-10,974.7557788944724,953.4579355100445,996.0536222789003,0.6318840579710145,0.5899276269749234,0.6738404889671057
AK,2020-06-11,1028.4120603015076,1007.5549399785975,1049.269180624418,0.665380906460945,0.6243719376486089,0.7063898752732812
AK,2020-06-12,1016.4884422110554,995.5149172306556,1037.4619671914552,0.6576663452266153,0.6164285032575488,0.6989041871956817
AK,2020-06-13,918.1185929648243,896.4117598278615,939.825426101787,0.5940212150433944,0.5513415531655036,0.6367008769212853
AK,2020-06-14,895.7618090452263,873.9422713622237,917.5813467282289,0.579556412729026,0.5366551528001099,0.6224576726579422
AK,2020-06-15,946.4371859296484,924.90119037105,967.9731814882468,0.6123432979749277,0.5699995344768061,0.6546870614730493
AK,2020-06-16,971.7748743718594,950.418908094148,993.1308406495708,0.6287367405978785,0.5867469480723028,0.6707265331234543
AK,2020-06-17,973.265326633166,951.9207636847045,994.6098895816274,0.6297010607521697,0.5877336892879066,0.6716684322164328
AK,2020-06-18,982.2080402010051,960.9338189777725,1003.4822614242378,0.6354869816779171,0.593657915098099,0.6773160482577352
AK,2020-06-19,994.1316582914574,972.9563938412921,1015.3069227416229,0.6432015429122468,0.6015670437107463,0.6848360421137474
AK,2020-06-20,962.8321608040203,941.4096830020507,984.2546386059898,0.6229508196721312,0.5808302531479526,0.6650713861963098
AK,2020-06-21,907.6854271356785,885.9235880521912,929.4472662191658,0.5872709739633558,0.5444831601876672,0.6300587877390444
AK,2020-06-22,950.9085427135681,929.4024332988495,972.4146521282867,0.6152362584378014,0.5729512566442351,0.6575212602313677
AK,2020-06-23,948.411509229099,925.8488408206767,970.9741776375212,0.6312968917470525,0.5916661563087029,0.6709276271854021
AK,2020-06-24,945.1910966340935,922.601384731541,967.780808536646,0.6291532690246516,0.589475032397976,0.6688315056513272
AK,2020-06-25,970.2844221105529,948.9171436208583,991.6517006002475,0.6277724204435873,0.5857603860101529,0.6697844548770217
AK,2020-06-26,970.2844221105529,948.9171436208583,991.6517006002475,0.6277724204435873,0.5857603860101529,0.6697844548770217
AK,2020-06-27,954.6622176591377,932.6570239475286,976.6674113707468,0.6153091265947007,0.5739860939302425,0.656632159259159
AK,2020-06-28,937.9137577002055,915.7985373340823,960.0289780663285,0.6045142296368989,0.5629845805209779,0.64604387875282
AK,2020-06-29,938.9849246231157,917.4008942668468,960.5689549793847,0.6075216972034716,0.5650834883797692,0.649959906027174
AK,2020-06-30,967.3035175879398,945.9138874489794,988.6931477269003,0.6258437801350049,0.5837877982115307,0.667899762058479
AK,2020-07-01,934.5135678391962,912.9017766607062,956.1253590176862,0.6046287367405979,0.5621359449890971,0.6471215284920987
AK,2020-07-02,959.8512562814071,938.4073316248448,981.2951809379695,0.6210221793635486,0.5788594443435517,0.6631849143835455
AK,2020-07-03,882.3477386934674,860.4698240983954,904.2256532885394,0.570877531340405,0.5278614915699119,0.613893571110898
AK,2020-07-04,886.819095477387,864.959874454702,908.678316500072,0.5737704918032787,0.5307912070648869,0.6167497765416704
AK,2020-07-05,912.9869706840393,890.152777851274,935.8211635168045,0.6077170418006431,0.5676093808306408,0.6478247027706454
AK,2020-07-06,912.1567839195982,890.4180002929129,933.8955675462835,0.5901639344262295,0.5474214519567956,0.6329064168956634
AK,2020-07-07,940.4753768844223,918.9007765019992,962.0499772668452,0.6084860173577628,0.5660663496124719,0.6509056851030536
AK,2020-07-08,908.7744107744106,878.8572541311352,938.6915674176861,0.5723270440251572,0.5408967905318929,0.6037572975184216
AK,2020-07-09,841.3653198653199,811.1841745675222,871.5464651631174,0.529874213836478,0.49816662013906554,0.5615818075338905
AK,2020-07-10,820.438045375218,789.7465465435776,851.1295442068587,0.5129449838187702,0.481673905845638,0.5442160617919023
AK,2020-07-11,716.1994750656168,682.3053327565149,750.0936173747185,0.4380952380952381,0.4101943042525111,0.4659961719379651
AK,2020-07-12,688.9527559055117,655.2201800568484,722.6853317541751,0.42142857142857143,0.39366063564441117,0.4491965072127317
AK,2020-07-13,650.1822660098521,617.1919456740011,683.1725863457033,0.4,0.372052893375574,0.42794710662442603
AK,2020-07-14,759.7635467980296,726.164516668672,793.3625769273871,0.46741573033707867,0.43895296707975934,0.495878493594398
AL,2020-03-02,3785.2816901408446,3682.3045359672606,3888.258844314429,0.26785714285714285,0.2605411997623272,0.2751730859519585
AL,2020-03-03,4794.69014084507,4684.591745236901,4904.788536453239,0.3392857142857143,0.331463847352568,0.3471075812188606
AL,2020-03-04,4794.69014084507,4684.591745236901,4904.788536453239,0.3392857142857143,0.331463847352568,0.3471075812188606
AL,2020-03-05,4037.633802816901,3932.5844660511243,4142.6831395826775,0.2857142857142857,0.27825112579212413,0.29317744563644726
AL,2020-03-06,4166.7441860465115,4059.773296514186,4273.715075578838,0.28169014084507044,0.274423561671926,0.2889567200182149
